FIFA,OPTA,Fifa Ovr,Crossing,Finishing,ShortPassing,Dribbling,LongPassing,StandingTackle,SlidingTackle
Laguardia,"Víctor Laguardia Deportivo Alaves, 29, D(C) ",77,43,49,70,36,57,79,76
Raúl García,"Raúl García Athletic Bilbao, 33, M(CLR),FW ",80,78,79,79,78,80,74,63
Dani Ceballos,"Dani Ceballos Real Madrid, 23, M(CL) ",81,74,68,83,85,80,75,74
M. Arambarri,"Mauro Arambarri Getafe, 23, DMC ",76,59,49,79,69,78,79,73
Jason,"Jason Levante, 25, M(R) ",75,69,74,74,78,66,41,43
Juanpe,"Juanpe Girona, 28, D(C) ",77,35,35,79,38,60,81,78
Pulido,"Jorge Pulido SD Huesca, 28, D(C) ",71,50,27,67,39,43,70,68
Illarramendi,"Asier Illarramendi Real Sociedad, 29, M(C) ",84,68,72,86,78,82,83,80
Diego Llorente,"Diego Llorente Real Sociedad, 26, D(C),DMC ",77,55,39,76,58,72,77,78
Odriozola,"Álvaro Odriozola Real Madrid, 23, D(R) ",80,81,45,77,69,70,79,80
Willian José,"Willian José Real Sociedad, 27, FW ",82,54,84,78,79,50,32,30
Brahim Díaz,"Brahim Díaz Real Madrid, 20, AM(L) ",69,53,66,71,76,50,23,21
Christian Rivera,"Christian Rivera SD Huesca, 22, M(C) ",70,59,41,70,65,66,68,65
D. Cheryshev,"Denis Cheryshev Valencia, 28, AM(L),FW ",77,80,78,72,80,68,55,52
Bustinza,"Unai Bustinza Leganes, 27, D(CR) ",75,76,30,72,56,53,77,75
D. Wass,"Daniel Wass Valencia, 30, D(LR),M(CLR) ",81,78,74,82,80,79,74,69
Ibai Gómez,"Ibai Gómez Deportivo Alaves, 29, AM(LR) ",79,79,79,77,82,78,58,55
Álex Moreno,"Álex Moreno Rayo Vallecano, 26, D(L),M(L) ",74,72,64,72,78,64,73,69
N. Araújo,"Néstor Araújo Celta Vigo, 28, D(C) ",75,32,34,72,53,66,80,79
Rodrigo Ely,"Rodrigo Ely Deportivo Alaves, 25, D(C) ",76,34,18,62,50,54,78,74
Calero,"Fernando Calero Real Valladolid, 23, D(C) ",73,44,23,69,61,70,73,72
Gálvez,"Alejandro Gálvez Rayo Vallecano, 30, D(C),M(C) ",75,39,29,73,54,71,75,74
E. Bardhi,"Enis Bardhi Levante, 24, AM(CL) ",77,78,78,79,79,76,67,58
Raúl Navas,"Raúl Navas Real Sociedad, 31, D(C) ",76,49,36,73,25,56,79,78
Pedraza,"Alfonso Pedraza Villarreal, 23, D(L),M(L) ",75,78,72,70,78,66,55,56
G. Mercado,"Gabriel Mercado Sevilla, 32, D(CR) ",79,68,60,71,57,65,80,78
David López,"David López Espanyol, 29, D(C),DMC ",79,53,65,79,64,64,82,76
Iván Ramis,"Iván Ramis Eibar, 34, D(C) ",77,45,54,71,51,72,78,73
Pablo Fornals,"Pablo Fornals Villarreal, 23, M(CLR) ",81,74,77,84,81,80,74,73
Santi Mina,"Santi Mina Valencia, 23, AM(LR),FW ",80,73,82,69,81,65,46,49
Míchel,"Míchel Real Valladolid, 31, M(CR) ",74,75,64,80,75,77,52,46
Mario Gaspar,"Mario Gaspar Villarreal, 28, D(CR),M(R) ",80,79,68,77,73,69,81,82
Kiko Olivas,"Kiko Olivas Real Valladolid, 31, D(C) ",72,44,56,64,49,56,75,67
Sidnei,"Sidnei Real Betis, 30, D(C) ",79,58,46,70,59,68,81,75
J. Gnagnon,"Joris Gnagnon Sevilla, 22, D(C) ",76,35,28,65,56,47,79,73
Sergi Gómez,"Sergi Gómez Sevilla, 27, D(CR) ",78,45,35,80,56,77,81,78
Santi Comesaña,"Santiago Comesaña Rayo Vallecano, 22, DMC ",70,49,74,74,63,65,67,51
Arbilla,"Anaitz Arbilla Eibar, 32, D(CLR) ",78,75,40,77,63,65,80,79
Charles,"Charles Eibar, 35, FW ",79,51,80,69,79,52,35,27
Moi Gómez,"Moi Gómez SD Huesca, 25, M(CLR) ",74,75,68,79,76,75,47,34
Paulo Oliveira,"Paulo Oliveira Eibar, 27, D(C) ",76,36,25,73,60,49,77,76
Hervías,"Pablo Hervías Eibar, 26, Midfielder ",73,67,65,69,77,66,31,33
Juanfran,"Juanfran Atletico Madrid, 34, D(R) ",80,81,54,77,75,66,81,80
Óscar Plano,"Óscar Plano Real Valladolid, 28, AM(CLR),FW ",74,74,74,68,72,65,30,26
Etxeita,"Xabier Etxeita SD Huesca, 31, D(C) ",73,36,29,63,47,54,71,73
Manu García,"Manu García Deportivo Alaves, 33, DMC ",73,70,54,70,87,65,49,44
Nélson Semedo,"Nélson Semedo Barcelona, 25, D(R) ",81,74,50,73,80,65,78,79
Pablo,"Pablo Ínsua SD Huesca, 25, D(C) ",76,30,49,57,56,51,78,72
Beñat,"Beñat Etxebarria Athletic Bilbao, 32, M(C) ",80,80,69,84,72,82,73,65
E. Ávila,"Chimy Avila SD Huesca, 25, AM(LR),FW ",70,56,70,68,71,58,35,31
Ángel,"Ángel Correa Atletico Madrid, 24, AM(LR),FW ",79,56,79,73,80,49,23,20
Akapo,"Carlos Akapo SD Huesca, 26, D(L) ",70,69,42,68,54,62,68,72
Dani García,"Dani García Athletic Bilbao, 29, DMC ",82,55,51,86,66,81,81,77
L. Advíncula,"Luis Advíncula Rayo Vallecano, 29, D(R),M(R) ",74,75,58,73,76,67,70,67
A. Mandi,"Aissa Mandi Real Betis, 27, D(CLR) ",79,78,41,78,64,73,79,84
G. Imbula,"Giannelli Imbula Rayo Vallecano, 26, M(C) ",74,62,51,78,81,74,63,60
Víctor Ruiz,"Víctor Ruiz Villarreal, 30, D(C) ",82,54,37,74,53,70,84,85
A. Solano,"Andrés Solano Atletico Madrid, 21, Defender ",62,61,28,57,60,52,61,61
Rodrigo,"Rodrigo Tarín Leganes, 23, D(C) ",83,72,78,78,82,58,41,40
Córdoba,"Iñigo Córdoba Athletic Bilbao, 22, AM(L) ",75,73,70,75,81,65,62,62
J. Hernández,"Juan Hernández SD Huesca, 20, FW ",75,58,78,67,72,59,33,37
Jaume Costa,"Jaume Costa Villarreal, 31, D(L),M(L) ",79,80,53,79,69,65,78,79
R. Boudebouz,"Ryad Boudebouz Celta Vigo, 29, M(CLR),FW ",80,82,77,81,81,76,35,30
Miguelón,"Miguelón Villarreal, 23, D(R) ",66,66,25,63,55,49,70,64
M. Olivera,"Mathías Olivera Getafe, 21, D(L),M(L) ",70,74,50,68,74,58,72,72
Isco,"Isco Real Madrid, 27, AM(CLR),FW ",88,75,79,89,94,83,64,51
Pere Pons,"Pere Pons Girona, 26, DMC ",78,60,65,82,75,80,77,76
Rubén Pérez,"Rubén Pérez Leganes, 30, M(C) ",75,52,43,78,62,71,80,71
Álvaro,"Álvaro González Villarreal, 29, D(C) ",78,51,22,69,48,57,78,81
Escudero,"Sergio Escudero Sevilla, 30, D(L),M(L) ",79,81,56,77,68,77,76,81
M. Wagué,"Moussa Wague Barcelona, 20, D(R) ",73,36,31,49,36,51,74,72
Bruno,"Bruno González Getafe, 29, D(C) ",77,21,23,73,34,68,81,80
A. Nyom,"Allan Nyom Leganes, 31, D(LR),M(R) ",74,74,27,63,68,64,78,78
M. Diakhaby,"Mouctar Diakhaby Valencia, 22, D(C) ",77,28,36,68,50,52,77,70
Nacho,"Nacho Real Valladolid, 30, D(LR) ",74,73,43,63,65,67,72,74
Chema Rodríguez,"Chema Rodríguez Levante, 27, D(C) ",75,48,55,69,54,67,76,76
Óscar,"Óscar Trejo Rayo Vallecano, 31, M(CLR) ",68,56,69,71,75,68,37,43
Robert,"Robert Mazán Celta Vigo, 25, Defender ",61,68,60,71,70,59,28,28
F. Roncaglia,"Facundo Roncaglia Valencia, 32, D(CLR) ",75,68,38,69,59,81,80,78
Juanfran,"Juanfran Atletico Madrid, 34, D(R) ",80,81,54,77,75,66,81,80
Adrià Pedrosa,"Adrià Pedrosa Espanyol, 21, D(L) ",61,62,43,60,60,55,61,59
Rubén Pardo,"Rubén Pardo Real Sociedad, 26, M(C) ",75,62,68,78,75,75,74,62
Lucas Vázquez,"Lucas Vázquez Real Madrid, 28, M(R) ",83,86,73,83,82,75,50,44
S. Savić,"Stefan Savic Atletico Madrid, 28, D(C) ",83,35,34,72,47,69,83,84
Roger,"Roger Martí Levante, 28, FW ",79,66,82,72,76,52,36,31
Francis,"Francis Real Betis, 23, D(R),M(LR) ",75,75,75,72,78,74,70,70
D. Zurutuza,"David Zurutuza Real Sociedad, 33, M(CL) ",76,69,74,78,78,73,73,67
Nolaskoain,"Peru Nolaskoain Athletic Bilbao, 20, Midfielder ",67,47,63,73,64,62,64,62
Pedro Porro,"Coke Levante, 32, D(CLR),M(R) ",69,73,61,68,72,59,64,65
Pedro Porro,"Pedro Porro Girona, 19, D(R),M(R) ",69,73,61,68,72,59,64,65
Portu,"Portu Girona, 27, AM(CR),FW ",80,63,81,83,82,78,61,59
S. Umtiti,"Samuel Umtiti Barcelona, 25, D(CL) ",87,69,51,81,69,73,89,86
Capa,"Ander Capa Athletic Bilbao, 27, D(R),M(R) ",78,77,56,71,74,56,75,82
Melendo,"Óscar Melendo Espanyol, 22, AM(CR) ",74,74,73,79,77,77,59,55
Joaquín,"Joaquín Fernández Real Valladolid, 23, D(C) ",63,61,58,56,64,52,21,20
W. Hoedt,"Wesley Hoedt Celta Vigo, 25, D(C) ",76,40,30,68,58,74,78,74
M. Gonalons,"Maxime Gonalons Sevilla, 30, D(C),M(C) ",75,61,55,74,67,74,79,74
S. Cáseres,"Santiago Cáseres Villarreal, 22, DMC ",73,57,54,75,65,66,72,72
Recio,"Recio Leganes, 28, M(C) ",76,64,58,77,72,73,75,62
G. Escalante,"Gonzalo Escalante Eibar, 26, DMC ",77,62,56,74,67,73,80,77
D. Foulquier,"Dimitri Foulquier Getafe, 26, D(LR),M(R) ",71,69,50,67,78,59,75,77
Adrián Diéguez,"Adrián Diéguez SD Huesca, 23, D(C) ",69,59,23,60,44,39,73,70
Q. Promes,"Quincy Promes Sevilla, 27, M(CLR),FW ",83,79,86,78,84,73,30,32
M. Layún,"Miguel Layún Villarreal, 31, D(LR),M(CLR) ",77,80,67,76,75,74,75,74
F. Roncaglia,"Facundo Roncaglia Valencia, 32, D(CLR) ",75,68,38,69,59,81,80,78
E. Ünal,"Enes Ünal Real Valladolid, 22, FW ",77,56,78,73,76,47,33,24
Cucurella,"Marc Cucurella Eibar, 21, M(L) ",71,74,51,72,71,66,63,64
Aday Benítez,"Aday Benítez Girona, 31, M(LR) ",76,76,55,75,77,62,77,75
Douglas Luiz,"Douglas Luiz Girona, 21, M(C) ",73,67,64,73,70,74,75,68
R. Le Normand,"Robin Le Normand Real Sociedad, 22, D(C) ",67,25,19,64,22,52,71,67
G. Cabral,"Gustavo Cabral Celta Vigo, 33, D(C) ",76,35,26,63,49,59,74,78
De Marcos,"Óscar De Marcos Athletic Bilbao, 30, D(LR),M(CR) ",79,77,59,75,75,69,76,75
David Costas,"David Costas Celta Vigo, 24, D(C) ",70,53,36,70,55,62,72,70
Rúben Vezo,"Rúben Vezo Levante, 25, D(CR) ",77,65,44,69,54,66,78,77
Sergio Álvarez,"Sergio Álvarez Eibar, 27, D(C),M(C) ",75,54,60,73,65,75,75,69
Susaeta,"Markel Susaeta Athletic Bilbao, 31, M(LR) ",80,88,69,82,85,81,23,27
A. Ba,"Ander Barrenetxea Real Sociedad, 17, Forward ",73,35,22,58,35,41,74,68
Elustondo,"Gorka Elustondo Rayo Vallecano, 32, D(C),M(C) ",72,60,59,76,69,73,74,76
Raúl García,"Raúl García Athletic Bilbao, 33, M(CLR),FW ",80,78,79,79,78,80,74,63
Aleix García,"Aleix García Girona, 22, DMC ",70,58,63,78,72,74,63,57
Martín,"Martín Aguirregabiria Deportivo Alaves, 23, D(R) ",75,77,28,76,65,45,78,77
A. Guardado,"Andrés Guardado Real Betis, 32, D(L),M(CL) ",82,73,60,85,80,83,75,73
Pozo,"José Pozo Rayo Vallecano, 23, AM(C) ",74,65,70,77,77,75,52,50
Vitolo,"Vitolo Atletico Madrid, 29, M(CLR) ",81,78,77,79,84,80,21,23
Aleix Vidal,"Aleix Vidal Sevilla, 30, D(R),M(LR) ",77,75,67,78,81,64,69,73
I. Amadou,"Ibrahim Amadou Sevilla, 26, D(C),DMC ",75,45,39,76,65,73,76,70
Carles Planas,"Carles Planas Girona, 28, D(L),M(L) ",76,80,52,76,69,58,77,79
Malcom,"Malcom Barcelona, 22, AM(CLR) ",82,79,75,82,85,73,28,17
Medrán,"Álvaro Medrán Rayo Vallecano, 25, M(C) ",75,70,58,81,71,80,66,59
Keko,"Keko Real Valladolid, 27, M(R) ",75,77,68,75,75,73,53,43
W. Kaptoum,"Wilfrid Kaptoum Real Betis, 23, M(C) ",66,56,60,75,63,69,63,61
Rúben Semedo,"Rúben Semedo SD Huesca, 25, D(C) ",74,38,43,67,64,60,76,75
Javi Moyano,"Javi Moyano Real Valladolid, 33, D(R) ",71,61,33,63,58,49,71,72
Arana,"Guilherme Arana Sevilla, 22, D(L),M(L) ",74,77,59,75,72,67,70,70
Ibai Gómez,"Ibai Gómez Deportivo Alaves, 29, AM(LR) ",79,79,79,77,82,78,58,55
F. Valverde,"Federico Valverde Real Madrid, 21, M(CL) ",74,49,67,78,70,81,67,50
Ferrán Torres,"Ferrán Torres Valencia, 19, M(R) ",73,73,72,69,79,72,24,28
H. Pérez,"Hernán Pérez Espanyol, 30, M(LR) ",77,79,70,76,78,67,24,14
T. Inui,"Takashi Inui Deportivo Alaves, 31, AM(CLR) ",80,77,70,76,88,70,39,31
D. Musto,"Damián Musto SD Huesca, 32, DMC ",74,54,34,79,62,76,75,68
S. Lobotka,"Stanislav Lobotka Celta Vigo, 24, DMC ",78,63,59,84,77,76,74,65
Bebé,"Bebé Rayo Vallecano, 29, AM(LR),FW ",74,73,73,71,76,69,28,20
Manu Trigueros,"Manu Trigueros Villarreal, 27, M(C) ",83,72,71,86,80,83,73,60
Lekue,"Íñigo Lekue Athletic Bilbao, 26, D(LR),M(LR) ",75,75,67,74,76,67,69,67
Luca Sangalli,"Luca Sangalli Real Sociedad, 24, AM(C) ",71,63,65,71,74,72,65,55
Borja Mayoral,"Borja Mayoral Levante, 22, FW ",75,58,79,69,73,43,13,20
Javi Sánchez,"Javi Sánchez Real Madrid, 22, Defender ",67,32,28,63,34,38,67,65
Óscar,"Óscar Duarte Espanyol, 30, D(C),DMC ",68,56,69,71,75,68,37,43
David Ferreiro,"David Ferreiro SD Huesca, 31, AM(L) ",71,72,68,70,73,71,23,36
Jordi Amat,"Jordi Amat Rayo Vallecano, 27, D(C),DMC ",76,31,34,68,50,52,76,79
Arthur,"Arthur Barcelona, 23, DMC ",82,70,72,85,82,80,76,70
M. Wakaso,"Mubarak Wakaso Deportivo Alaves, 29, M(CLR) ",75,74,55,76,75,71,73,72
J. Alonso,"Júnior Alonso Celta Vigo, 26, D(CL) ",75,68,54,65,63,69,74,73
R. Boudebouz,"Ryad Boudebouz Celta Vigo, 29, M(CLR),FW ",80,82,77,81,81,76,35,30
M. Rog,"Marko Rog Sevilla, 24, DMC ",75,75,62,82,80,78,68,66
Roque Mesa,"Roque Mesa Sevilla, 30, DMC ",79,67,65,82,74,77,75,76
Loren,"Loren Morón Real Betis, 25, FW ",78,36,86,74,79,35,12,16
Juanmi,"Juanmi Real Sociedad, 26, AM(CLR),FW ",76,64,78,75,78,53,28,25
Rubén Sobrino,"Rubén Sobrino Deportivo Alaves, 27, AM(R),FW ",76,55,78,73,81,47,31,17
Ignasi Miquel,"Ignasi Miquel Getafe, 26, D(C) ",73,49,18,69,55,58,74,70
Portillo,"Francisco Portillo Getafe, 29, M(CLR) ",75,79,73,78,77,75,49,46
Álex Gallar,"Álex Gallar SD Huesca, 27, AM(R) ",73,72,75,71,76,70,36,25
S. Prcić,"Sanjin Prcic Levante, 25, M(C) ",74,71,62,78,73,77,74,68
Vallejo,"Jesús Vallejo Real Madrid, 22, D(C) ",78,41,44,76,56,75,78,81
Victor Sánchez,"Víctor Sánchez Espanyol, 31, D(LR),M(CL) ",77,74,57,80,66,78,80,80
Diego Costa,"Diego Costa Atletico Madrid, 30, FW ",85,65,87,65,77,52,39,34
J. Murillo,"Jeison Murillo Valencia, 27, D(C) ",80,56,37,68,58,62,80,82
Ángel,"Ángel Rodríguez Getafe, 32, FW ",79,56,79,73,80,49,23,20
Luisinho,"Luisinho SD Huesca, 34, D(L),M(L) ",74,76,49,75,71,68,77,78
Quinti,"Xavi Quintillá Villarreal, 23, D(L) ",62,56,30,63,43,68,62,59
Melero,"Gonzalo Melero SD Huesca, 25, AM(C) ",75,55,74,74,70,73,75,72
P. De Blasis,"Pablo De Blasis Mainz 05, 31, D(R),M(CLR) ",75,68,72,73,77,66,39,37
Luna,"Antonio Luna Levante, 28, D(L),M(L) ",74,80,60,75,67,63,73,73
Pedro López,"Pedro López Levante, 35, D(R),M(R) ",71,76,53,71,68,64,73,66
Mikel Rico,"Mikel Rico Athletic Bilbao, 34, M(C) ",75,55,61,75,62,76,77,75
Aleñá,"Carles Aleñá Barcelona, 21, M(C) ",72,66,66,72,76,68,62,48
Postigo,"Sergio Postigo Levante, 30, D(C) ",75,42,44,66,52,70,75,74
P. Sisto,"Pione Sisto Celta Vigo, 24, AM(LR) ",78,78,76,70,86,65,55,48
Gorosabel,"Andoni Gorosabel Real Sociedad, 23, D(R) ",68,61,38,68,53,58,69,67
Adrián Marín,"Adrián Marín Deportivo Alaves, 22, D(L) ",72,72,40,73,69,56,72,76
Moi Delgado,"Moisés Delgado Real Valladolid, 25, Defender ",64,64,24,60,53,55,62,64
D. Brasanac,"Darko Brasanac Deportivo Alaves, 27, M(CR) ",74,58,61,76,65,75,72,70
Mikel San José,"Mikel San José Athletic Bilbao, 30, D(C),DMC ",77,47,60,78,66,77,79,74
Riqui Puig,"Riqui Puig Barcelona, 20, Midfielder ",69,60,58,78,70,76,57,53
Sergio García,"Sergio García Espanyol, 36, M(CLR),FW ",77,77,76,76,82,72,30,28
Munir,"Munir El Haddadi Sevilla, 24, AM(LR),FW ",77,65,78,77,81,58,24,22
K. Gameiro,"Kevin Gameiro Valencia, 32, FW ",80,70,78,79,75,72,33,39
M. Simon,"Moses Simon Levante, 24, M(CLR) ",76,75,72,69,82,54,31,25
Emerson,"Emerson Real Betis, 20, D(R) ",75,78,43,74,77,66,69,70
Anuar,"Anuar Mohamed Real Valladolid, 24, AM(C) ",70,58,43,72,60,70,71,70
Akieme,"Sergio Akieme Rayo Vallecano, 21, Defender ",67,64,26,62,63,43,64,66
Antoñito,"Antoñito Real Valladolid, 31, D(R),M(R) ",71,70,44,67,67,49,63,69
T. Vermaelen,"Thomas Vermaelen Barcelona, 33, D(CL) ",77,63,52,80,55,78,79,80
S. Cristóforo,"Sebastián Cristóforo Getafe, 26, M(C) ",75,52,50,76,66,78,76,72
Hugo Duro,"Hugo Duro Getafe, 19, Forward ",62,31,72,52,50,34,17,20
N. El Zhar,"Nabil El Zhar Leganes, 33, M(CLR) ",76,78,74,77,81,64,38,36
N. Vukčević,"Nikola Vukcevic Levante, 27, DMC ",76,52,38,77,71,70,75,70
Pedro León,"Pedro León Eibar, 32, M(LR) ",81,91,76,83,84,85,46,36
Pablo,"Pablo Piatti Espanyol, 30, M(LR) ",76,30,49,57,56,51,78,72
A. Sanabria,"Antonio Sanabria Real Betis, 23, FW ",79,67,81,74,82,63,20,15
Ramalho,"Jonás Ramalho Girona, 26, D(CR) ",74,59,40,69,48,52,78,80
C. Bacca,"Carlos Bacca Villarreal, 32, FW ",81,60,84,68,80,55,16,14
Javi García,"Javi García Real Betis, 32, D(C),DMC ",78,47,59,82,66,77,77,75
D. Bonera,"Daniele Bonera Villarreal, 38, D(CR) ",75,58,23,60,41,61,78,74
Kike García,"Kike García Eibar, 29, FW ",79,53,80,70,75,49,34,21
Marc Cardona,"Marc Cardona Eibar, 24, FW ",70,57,71,62,70,50,17,12
Valery,"Valery Fernández Girona, 19, M(L) ",58,54,53,56,62,51,27,25
Jon Bautista,"Jon Bautista Real Sociedad, 24, FW ",72,47,78,69,70,41,22,16
Tito,"Tito Rayo Vallecano, 34, D(CLR) ",72,77,43,70,65,67,74,76
Mariano,"Mariano Real Madrid, 26, FW ",80,50,81,69,75,51,40,34
G. Kakuta,"Gaël Kakuta Rayo Vallecano, 28, M(CLR) ",76,79,71,74,79,66,41,25
Gelson Martins,"Gelson Martins Atletico Madrid, 24, AM(R) ",82,81,66,78,85,55,46,36
T. Inui,"Takashi Inui Deportivo Alaves, 31, AM(CLR) ",80,77,70,76,88,70,39,31
Pere Milla,"Diego Lainez Real Betis, 19, Midfielder ",73,73,75,67,78,60,30,28
E. Cabaco,"Pere Milla Eibar, 26, M(L) ",75,38,36,60,48,62,74,76
G. Shibasaki,"Erick Cabaco Levante, 24, D(C) ",77,68,70,81,77,79,73,72
G. Shibasaki,"Gaku Shibasaki Getafe, 27, M(C),FW ",77,68,70,81,77,79,73,72
Álvaro García,"Álvaro García Rayo Vallecano, 26, AM(L) ",74,71,68,68,71,60,22,29
Rafinha,"Rafinha Bayern Munich, 33, D(CLR),M(R) ",82,72,73,86,87,76,74,66
Sandro,"Sandro Ramírez Real Sociedad, 24, AM(LR),FW ",75,60,65,73,69,72,73,73
Dorado,"Chechu Dorado Rayo Vallecano, 37, D(C) ",71,41,44,72,40,61,74,64
Rubén Sobrino,"Rubén Sobrino Deportivo Alaves, 27, AM(R),FW ",76,55,78,73,81,47,31,17
Vigaray,"Carlos Vigaray Deportivo Alaves, 24, D(CLR) ",72,70,53,65,71,48,73,76
Unai López,"Unai López Athletic Bilbao, 23, M(CR) ",75,71,74,75,75,74,72,59
Bigas,"Pedro Bigas Eibar, 29, D(CL) ",74,68,49,72,44,60,73,74
E. Boateng,"Emmanuel Boateng Levante, 23, AM(R),FW ",76,57,75,69,78,46,35,33
Javi Fuego,"Javi Fuego Villarreal, 35, M(C) ",77,59,54,77,62,71,79,78
Hervías,"Pablo Hervías Eibar, 26, Midfielder ",73,67,65,69,77,66,31,33
Jesé,"Jesé Real Betis, 26, AM(LR),FW ",76,72,71,76,81,69,23,12
Javi Guerra,"Javi Guerra Rayo Vallecano, 37, FW ",70,51,71,63,66,57,36,46
Borja Bastón,"Borja Bastón Deportivo Alaves, 27, FW ",75,51,75,68,66,54,32,24
L. López,"Lluís López Espanyol, 22, D(C) ",77,33,48,66,61,58,76,75
Gumbau,"Gerard Gumbau Leganes, 24, DMC ",71,48,60,81,64,79,75,63
N. Kalinić,"Nikola Kalinic Atletico Madrid, 31, FW ",79,60,83,72,73,48,32,28
Fran Beltrán,"Fran Beltrán Celta Vigo, 20, DMC ",74,65,47,75,69,74,75,77
M. Santos,"Michael Santos Leganes, 26, FW ",73,64,73,65,71,57,31,27
Barragán,"Antonio Barragán Real Betis, 32, D(R),M(R) ",76,77,44,77,62,62,80,79
Balenziaga,"Mikel Balenziaga Athletic Bilbao, 31, D(L) ",75,78,41,70,67,69,76,74
P. Roberts,"Patrick Roberts Girona, 22, AM(R) ",74,66,68,73,81,65,18,19
K. Soni,"Kevin Soni Girona, 21, Midfielder ",64,55,57,63,74,50,42,37
M. Jensen,"Mathias Jensen Celta Vigo, 23, M(C) ",75,63,65,76,73,75,63,54
Borja Fernández,"Borja Fernández Real Valladolid, 38, M(C) ",70,59,55,71,62,68,72,62
E. Mor,"Emre Mor Celta Vigo, 22, AM(LR) ",74,64,69,67,83,47,21,29
Jozabed,"Jozabed Sánchez Celta Vigo, 28, M(C) ",75,61,73,78,72,72,73,67
D. Verde,"Daniele Verde Real Valladolid, 23, AM(LR) ",72,69,58,68,77,60,37,35
Kevin,"Kevin Vázquez Celta Vigo, 26, D(R) ",68,69,44,64,65,46,67,70
L. Muriel,"Luis Muriel Sevilla, 28, AM(CL),FW ",80,62,78,75,85,55,24,22
Lato,"Toni Lato Valencia, 21, D(L) ",74,80,51,72,71,70,72,74
Aduriz,"Aritz Aduriz Athletic Bilbao, 38, FW ",82,54,83,72,76,52,44,49
L. Suárez,"Leo Suárez Real Valladolid, 23, FW ",91,77,93,82,87,64,45,38
A. Hjulsager,"Andrew Hjulsager Celta Vigo, 24, Midfielder ",69,58,69,71,72,68,58,42
S. Longo,"Samuele Longo SD Huesca, 27, FW ",72,56,71,65,71,40,24,19
S. Doumbia,"Seydou Doumbia Girona, 31, FW ",76,46,73,70,74,63,39,34
Burgui,"Burgui Deportivo Alaves, 25, AM(LR) ",75,74,69,74,78,63,28,21
J. Guidetti,"John Guidetti Deportivo Alaves, 27, FW ",78,67,76,75,76,53,30,26
M. Batshuayi,"Michy Batshuayi Valencia, 25, FW ",80,65,82,64,78,36,26,22
K. Boateng,"Kevin-Prince Boateng Barcelona, 32, M(CLR),FW ",81,75,78,82,79,78,78,74
Aguilera,"Juan Aguilera SD Huesca, 33, Midfielder ",69,41,52,75,71,72,69,64
Dani Ojeda,"Daniel Ojeda Leganes, 24, Forward ",67,62,69,64,66,66,38,34
José Arnáiz,"José Arnáiz Leganes, 24, Forward ",70,63,66,65,69,61,27,28
Eraso,"Javier Eraso Leganes, 29, AM(C) ",76,64,78,80,73,79,64,57
D. Čop,"Duje Cop Real Valladolid, 29, FW ",72,58,74,69,68,57,30,30
Montero,"Francisco Montero Atletico Madrid, 20, D(C) ",64,42,27,60,44,42,65,64
D. Eckert,"Dennis Eckert Celta Vigo, 22, Forward ",64,35,68,59,59,37,15,16
Puado,"Javier Puado Espanyol, 21, Forward ",69,36,73,69,75,53,18,20
Fran Manzanara,"Fran Manzanara Levante, 22, Midfielder ",65,46,49,71,62,65,67,63
Alex López,"Álex López Espanyol, 22, Midfielder ",67,47,54,74,65,71,54,42
Cristo González,"Cristo González Real Madrid, 21, Forward ",66,54,70,64,69,60,39,26
Robert,"Robert Ibáñez Getafe, 26, AM(R) ",61,68,60,71,70,59,28,28
A. Lozano,"Anthony Lozano Girona, 26, Forward ",74,51,73,70,75,53,40,35
E. Muñoz,"Ezequiel Muñoz Leganes, 28, D(C) ",71,30,19,60,38,55,77,75
S. Serdar,"Serdar Gurler SD Huesca, 27, AM(LR) ",74,60,56,76,75,70,70,66
Paik Seung Ho,"Seung-Ho Paik Girona, 22, Midfielder ",67,52,61,71,71,62,65,53
Sergio León,"Sergio León Real Betis, 30, FW ",79,41,82,72,77,34,33,21
R. Dwamena,"Raphael Dwamena Levante, 23, Forward ",70,56,72,65,70,44,13,20
Alex Alegría,"Álex Alegría Rayo Vallecano, 26, FW ",71,48,70,65,71,39,20,25
Sabin Merino,"Sabin Merino Leganes, 27, AM(L),FW ",75,72,77,71,80,62,55,43
M. Iturra,"Manuel Iturra Villarreal, 35, DMC ",73,56,27,69,61,69,76,69
Nolito,"Nolito Sevilla, 32, AM(L) ",79,77,79,76,80,67,39,27
Markel Bergara,"Markel Bergara Getafe, 33, M(C) ",77,58,67,78,65,76,79,76
R. Brežančić,"Rajko Brezancic SD Huesca, 30, D(L) ",69,64,28,66,59,59,70,73
Sastre,"Lluis Sastre SD Huesca, 33, DMC ",70,64,54,75,60,76,71,60
P. Twumasi,"Patrick Twumasi Deportivo Alaves, 25, AM(R) ",65,55,68,55,71,38,23,22
D. Torres,"Dani Torres Deportivo Alaves, 29, DMC ",77,62,55,73,69,74,75,73
C. Doukouré,"Cheick Doukouré Levante, 26, DMC ",73,59,58,72,65,65,74,73
Miguel,"Miguel Marí Eibar, 22, Midfielder ",64,40,65,57,63,43,24,22
Bebé,"Bebé Rayo Vallecano, 29, AM(LR),FW ",74,73,73,71,76,69,28,20
Mollejo,"Victor Mollejo Atletico Madrid, 18, Forward ",59,52,54,55,62,49,25,28
Guruzeta,"Gorka Guruzeta Athletic Bilbao, 22, Forward ",67,57,72,68,67,62,17,20
